ent_num,alt_num,alt_type,alt_name,alt_remarks
18268,28202,aka,GOSUDARSTVENNY SPETSIALIZIROVANNY ROSSISKI EKSPORTNO-IMPORTNY BANK (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),
18268,28203,aka,STATE SPECIALIZED RUSSIAN EXPORT-IMPORT BANK JOINT-STOCK COMPANY,
18268,54898,aka,EXIMBANK OF RUSSIA ZAO,
18268,54899,aka,EXIMBANK OF RUSSIA,
18268,54901,aka,AO ROSEKSIMBANK,
18269,28205,aka,SAMOTLORNEFTEGAZ JSC,
18269,28206,aka,SAMOTLORNEFTEGAZ,
18270,28208,aka,OJSC NORTH CAUCASUS DEVELOPMENT CORPORATION,
18270,28209,aka,OPEN JOINT-STOCK COMPANY NORTH CAUCASUS DEVELOPMENT CORPORATION,
18270,28212,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO KORPORATSIYA RAZVITIYA SEVERNOGO KAVKAZA,
18270,28213,fka,"KRSK, OAO",
18271,28211,aka,VERKHNECHONSKNEFTEGAZ,
18271,28214,aka,OJSC VERKHNECHONSKNEFTEGAZ,
18272,28216,aka,EKSAR OAO,
18272,28217,aka,ROSSISKOE AGENTSTVO PO STRAKHOVANIYU EKSPORTNYKH KREDITOV I INVESTITSI OTKRYTOE AKTSIONERNOE OBSHCHESTVO,
18272,28218,aka,RUSSIAN AGENCY FOR EXPORT CREDIT AND INVESTMENT INSURANCE JSC,
18272,28219,aka,EXIAR OJSC,
18272,54910,aka,EXIAR,
18272,54911,aka,EXIAR JSC,
18273,28221,fka,JSC FAR EAST AND ARCTIC REGION DEVELOPMENT FUND,
18273,28224,fka,OJSC THE FAR EAST AND BAIKAL REGION DEVELOPMENT FUND,
18273,55112,aka,AO VEB.DV,
18273,55113,fka,FAR EAST AND BAIKAL REGION DEVELOPMENT FUND OJSC,
18274,28226,aka,VANKORNEFT,
18274,28227,aka,ZAO VANKORNEFT,
18275,28229,aka,"FTSPF, OAO",
18275,28230,aka,OAO FEDERALNY TSENTR PROEKTNOGO FINANSIROVANIYA,
18275,28232,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO FEDERALNY CENTR PROEKTNOGO FINANSIROVANIYA,
18276,28234,aka,YUGANSKNEFTEGAZ,
18276,28235,aka,RN-YUGANSKNEFTEGAZ OOO,
18277,28238,aka,"GLOBEX COMMERCIAL BANK, JOINT STOCK COMPANY",
18277,28239,aka,"GLOBEKSBANK, AO",
18277,28240,aka,AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,
18277,28241,fka,CJSC GLOBEXBANK,
18277,28242,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,
18278,28244,aka,"KRASLESINVEST, ZAO",
18278,28245,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KRASLESINVEST,
18278,28246,aka,THE CLOSED JOINT-STOCK COMPANY KRASLESINVEST,
18278,28247,aka,CJSC KRASLESINVEST,
18279,28250,aka,LIMITED LIABILITY COMPANY RDIF MANAGEMENT COMPANY,
18279,28253,aka,RDIF MANAGEMENT COMPANY LLC,
